0.0	0.0
0.035	0.21
0.04	0.3
0.065	0.335
0.08	0.375
0.085	0.42
0.095	0.435
0.095	0.45
0.095	0.47
0.095	0.48
0.095	0.495
0.105	0.495
0.115	0.505
0.115	0.51
0.12	0.515
0.12	0.52
0.125	0.52
0.13	0.52
0.135	0.525
0.14	0.525
0.145	0.525
0.145	0.53
0.145	0.535
0.15	0.535
0.155	0.535
0.155	0.54
0.155	0.545
0.155	0.55
0.155	0.555
0.16	0.555
0.165	0.555
0.165	0.56
0.165	0.565
0.165	0.57
0.17	0.57
0.17	0.575
0.175	0.58
0.18	0.59
0.18	0.595
0.18	0.6
0.18	0.605
0.18	0.61
0.185	0.61
0.185	0.615
0.19	0.615
0.19	0.62
0.19	0.625
0.195	0.625
0.2	0.625
0.2	0.63
0.205	0.635
0.205	0.64
0.21	0.64
0.21	0.645
0.215	0.645
0.215	0.65
0.215	0.655
0.215	0.66
0.215	0.665
0.22	0.665
0.225	0.665
0.23	0.67
0.23	0.675
0.235	0.675
0.235	0.68
0.24	0.68
0.245	0.68
0.25	0.68
0.25	0.685
0.255	0.685
0.255	0.69
0.26	0.69
0.26	0.695
0.265	0.695
0.27	0.695
0.275	0.695
0.275	0.7
0.28	0.7
0.28	0.705
0.28	0.71
0.285	0.71
0.29	0.71
0.29	0.715
0.295	0.715
0.295	0.72
0.3	0.72
0.305	0.72
0.31	0.72
0.315	0.72
0.315	0.725
0.315	0.73
0.315	0.735
0.32	0.74
0.325	0.74
0.33	0.74
0.335	0.74
0.335	0.745
0.34	0.745
0.345	0.745
0.35	0.745
0.36	0.745
0.365	0.745
0.365	0.75
0.365	0.755
0.37	0.755
0.375	0.76
0.375	0.765
0.375	0.77
0.38	0.77
0.385	0.775
0.385	0.78
0.385	0.785
0.39	0.785
0.39	0.79
0.39	0.795
0.395	0.795
0.395	0.8
0.395	0.805
0.4	0.805
0.405	0.805
0.41	0.805
0.415	0.81
0.42	0.81
0.425	0.81
0.425	0.815
0.43	0.815
0.43	0.82
0.435	0.825
0.435	0.83
0.435	0.835
0.44	0.835
0.45	0.835
0.45	0.84
0.45	0.845
0.46	0.85
0.465	0.855
0.47	0.855
0.475	0.86
0.485	0.86
0.49	0.86
0.495	0.86
0.495	0.865
0.495	0.87
0.5	0.87
0.5	0.875
0.505	0.875
0.51	0.875
0.515	0.875
0.515	0.88
0.52	0.88
0.525	0.885
0.525	0.89
0.53	0.89
0.535	0.89
0.54	0.89
0.545	0.895
0.545	0.9
0.555	0.9
0.56	0.9
0.56	0.905
0.565	0.905
0.57	0.905
0.585	0.905
0.59	0.905
0.595	0.91
0.6	0.91
0.61	0.91
0.62	0.92
0.635	0.92
0.65	0.92
0.655	0.925
0.665	0.93
0.67	0.935
0.69	0.945
0.745	0.96
0.795	0.96
1.0	1.0
